"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"307",734,708,230,741,262,427,594,517
"308",861,456,19,56,361,433,763,806
"309",20,944,975,984,764,65,986,763
"310",258,557,769,375,897,765,58,661
"311",997,116,74,873,341,387,169,943
"312",191,551,11,792,700,679,737,295
"313",318,718,156,660,445,967,814,361
"314",699,410,185,502,898,852,963,487
"315",772,843,393,694,411,974,120,857
"316",268,635,990,18,816,143,20,241
"317",594,991,421,83,296,634,518,632
"318",60,230,856,783,55,657,634,248
"319",882,21,734,562,670,748,746,802
"320",287,773,519,688,632,874,438,207
"321",511,976,949,33,863,447,629,220
"322",16,418,466,133,737,233,680,276
"323",884,176,416,908,368,992,681,897
"324",201,768,141,553,492,942,137,918
"325",376,213,981,175,694,401,486,9
"326",175,696,406,751,781,327,499,792
"327",612,57,639,196,412,562,724,103
"328",475,615,325,966,691,3,971,189
"329",809,321,35,445,924,606,854,844
"330",427,777,601,461,362,485,207,405
"331",232,247,167,355,718,351,970,816
"332",942,866,875,757,643,223,666,952
"333",591,764,125,88,132,262,998,262
"334",87,236,642,372,540,995,498,434
"335",889,780,306,42,449,27,586,569
"336",188,334,364,519,723,915,417,503
"337",761,494,988,498,673,597,421,76
"338",202,490,560,145,188,147,272,533
"339",931,45,358,592,235,602,76,613
"340",303,281,42,318,496,858,485,878
"341",316,478,595,661,747,74,79,84
"342",400,751,426,591,380,431,447,942
"343",712,732,596,221,664,960,895,666
"344",534,56,671,505,225,824,516,334
"345",371,533,654,450,529,676,232,642
"346",102,509,201,556,211,396,596,541
"347",873,842,661,511,779,334,984,664
"348",943,154,53,850,794,423,934,273
"349",589,71,999,617,21,901,684,280
"350",377,380,646,516,995,616,113,976
"351",496,470,800,3,484,47,73,880
"352",425,583,820,596,629,329,673,143
"353",172,30,171,50,291,653,831,531
"354",283,791,270,124,374,202,478,180
"355",692,861,305,811,913,890,397,761
"356",179,612,857,174,583,544,577,292
"357",298,322,935,508,338,100,767,431
"358",178,290,108,812,420,96,400,865
"359",714,912,112,218,825,307,712,856
"360",814,687,252,39,835,268,437,443
"361",813,917,6,128,282,845,177,33
"362",405,623,354,7,946,354,993,767
"363",394,166,901,573,733,493,143,771
"364",36,383,7,747,967,37,704,817
"365",647,447,264,349,716,921,553,226
"366",177,598,394,225,28,474,196,578
"367",536,259,299,31,676,608,815,157
"368",695,692,651,910,137,162,742,302
"369",529,968,135,692,218,330,810,392
"370",503,772,344,178,305,954,48,896
"371",464,907,24,979,456,668,253,422
"372",805,157,61,62,932,792,571,114
"373",344,728,445,308,761,624,939,921
"374",99,903,446,780,943,766,730,655
"375",725,752,905,55,108,936,785,152
"376",224,193,522,291,839,807,538,387
"377",310,284,892,32,54,392,36,430
"378",288,189,330,973,870,320,901,411
"379",646,25,286,75,197,361,67,667
"380",317,882,49,996,993,250,372,360
"381",872,6,186,107,70,214,349,798
"382",274,785,712,69,255,190,886,658
"383",759,78,665,976,866,579,25,854
"384",398,446,21,241,911,373,63,420
"385",424,124,250,986,200,547,658,116
